,no2,pm25,pm10,o3
no2,1,0.476457489,0.358837997,-0.664846162
pm25,0.476457489,1,0.928735081,-0.015918183
pm10,0.358837997,0.928735081,1,0.208243226
o3,-0.664846162,-0.015918183,0.208243226,1
