city,pollutant,n,mean,median,sd,iqr
Hull,no2,328,16.972881573201438,15.321237665,9.943372485533425,10.3034821425
Hull,pm25,328,7.559743388395745,6.434782609,3.839237676552619,4.447908121499999
Hull,pm10,328,14.489753766268086,13.36363636,5.7206357181933525,6.685300209999998
Hull,o3,328,48.62344281053597,48.75329875,15.586339469029856,17.7322299175
Sheffield,no2,328,15.160993033423914,12.797239585,10.04519503457801,12.902839016999998
Sheffield,pm25,328,7.045114358374468,6.043478261,3.712540037482355,5.1521739124999995
Sheffield,pm10,328,12.022677922510638,10.86956522,5.300609349846209,6.8260869594999996
Sheffield,o3,328,46.45977683384892,46.10500848,16.26739681596286,17.774075817500005
