city,month,year,date,pollutant,monthly_mean
Hull,2024-09-01T00:00:00Z,2024,9/1/2024,pm25,12.94642857
Hull,2024-10-01T00:00:00Z,2024,10/1/2024,no2,20.55555556
Hull,2024-10-01T00:00:00Z,2024,10/1/2024,o3,42.38271605
Hull,2024-10-01T00:00:00Z,2024,10/1/2024,pm10,20.96296296
Hull,2024-10-01T00:00:00Z,2024,10/1/2024,pm25,14.11111111
Hull,2024-11-01T00:00:00Z,2024,11/1/2024,no2,15.30263158
Hull,2024-11-01T00:00:00Z,2024,11/1/2024,o3,53.67105263
Hull,2024-11-01T00:00:00Z,2024,11/1/2024,pm10,22.65
Hull,2024-11-01T00:00:00Z,2024,11/1/2024,pm25,15.08333333
Hull,2024-12-01T00:00:00Z,2024,12/1/2024,no2,21.46987952
Hull,2024-12-01T00:00:00Z,2024,12/1/2024,o3,44.30769231
Hull,2024-12-01T00:00:00Z,2024,12/1/2024,pm10,19.65714286
Hull,2024-12-01T00:00:00Z,2024,12/1/2024,pm25,11.9
Hull,2025-01-01T00:00:00Z,2025,1/1/2025,no2,21.3479488
Hull,2025-01-01T00:00:00Z,2025,1/1/2025,o3,44.33389998
Hull,2025-01-01T00:00:00Z,2025,1/1/2025,pm10,16.16891892
Hull,2025-01-01T00:00:00Z,2025,1/1/2025,pm25,7.743243243
Hull,2025-02-01T00:00:00Z,2025,2/1/2025,no2,18.94340085
Hull,2025-02-01T00:00:00Z,2025,2/1/2025,o3,50.56974053
Hull,2025-02-01T00:00:00Z,2025,2/1/2025,pm10,14.44025157
Hull,2025-02-01T00:00:00Z,2025,2/1/2025,pm25,7.113207547
Hull,2025-03-01T00:00:00Z,2025,3/1/2025,no2,13.54888441
Hull,2025-03-01T00:00:00Z,2025,3/1/2025,o3,53.1883079
Hull,2025-03-01T00:00:00Z,2025,3/1/2025,pm10,14.01941748
Hull,2025-03-01T00:00:00Z,2025,3/1/2025,pm25,7.097087379
Hull,2025-04-01T00:00:00Z,2025,4/1/2025,no2,15.73040895
Hull,2025-04-01T00:00:00Z,2025,4/1/2025,o3,49.25767317
Hull,2025-04-01T00:00:00Z,2025,4/1/2025,pm10,15.62956204
Hull,2025-04-01T00:00:00Z,2025,4/1/2025,pm25,8.729927007
Hull,2025-05-01T00:00:00Z,2025,5/1/2025,no2,12.3545546
Hull,2025-05-01T00:00:00Z,2025,5/1/2025,o3,58.23816851
Hull,2025-05-01T00:00:00Z,2025,5/1/2025,pm10,16.56302521
Hull,2025-05-01T00:00:00Z,2025,5/1/2025,pm25,7.845378151
Hull,2025-06-01T00:00:00Z,2025,6/1/2025,no2,13.25020718
Hull,2025-06-01T00:00:00Z,2025,6/1/2025,o3,57.89148759
Hull,2025-06-01T00:00:00Z,2025,6/1/2025,pm10,12.9005425
Hull,2025-06-01T00:00:00Z,2025,6/1/2025,pm25,6.518987342
Hull,2025-07-01T00:00:00Z,2025,7/1/2025,no2,12.36549919
Hull,2025-07-01T00:00:00Z,2025,7/1/2025,o3,49.77023058
Hull,2025-07-01T00:00:00Z,2025,7/1/2025,pm10,14.32881356
Hull,2025-07-01T00:00:00Z,2025,7/1/2025,pm25,7.379661017
Hull,2025-08-01T00:00:00Z,2025,8/1/2025,no2,13.19120773
Hull,2025-08-01T00:00:00Z,2025,8/1/2025,o3,54.07568842
Hull,2025-08-01T00:00:00Z,2025,8/1/2025,pm10,13.79229481
Hull,2025-08-01T00:00:00Z,2025,8/1/2025,pm25,6.216080402
Hull,2025-09-01T00:00:00Z,2025,9/1/2025,no2,15.76807547
Hull,2025-09-01T00:00:00Z,2025,9/1/2025,o3,41.53489453
Hull,2025-09-01T00:00:00Z,2025,9/1/2025,pm10,12.73754789
Hull,2025-09-01T00:00:00Z,2025,9/1/2025,pm25,6.329501916
Hull,2025-10-01T00:00:00Z,2025,10/1/2025,no2,14.75808168
Hull,2025-10-01T00:00:00Z,2025,10/1/2025,o3,46.39565863
Hull,2025-10-01T00:00:00Z,2025,10/1/2025,pm10,12.49775785
Hull,2025-10-01T00:00:00Z,2025,10/1/2025,pm25,7.139013453
Hull,2025-11-01T00:00:00Z,2025,11/1/2025,no2,19.07405941
Hull,2025-11-01T00:00:00Z,2025,11/1/2025,o3,48.80590252
Hull,2025-11-01T00:00:00Z,2025,11/1/2025,pm10,17.28301887
Hull,2025-11-01T00:00:00Z,2025,11/1/2025,pm25,9.113207547
Hull,2025-12-01T00:00:00Z,2025,12/1/2025,no2,15.15026899
Hull,2025-12-01T00:00:00Z,2025,12/1/2025,o3,55.70155675
Hull,2025-12-01T00:00:00Z,2025,12/1/2025,pm10,20.91875
Hull,2025-12-01T00:00:00Z,2025,12/1/2025,pm25,12.65
Sheffield,2023-01-01T00:00:00Z,2023,1/1/2023,no2,26.04347826
Sheffield,2023-01-01T00:00:00Z,2023,1/1/2023,o3,19.04347826
Sheffield,2023-01-01T00:00:00Z,2023,1/1/2023,pm10,10.2173913
Sheffield,2023-01-01T00:00:00Z,2023,1/1/2023,pm25,7.608695652
Sheffield,2023-02-01T00:00:00Z,2023,2/1/2023,no2,25.11428571
Sheffield,2023-02-01T00:00:00Z,2023,2/1/2023,o3,17.23529412
Sheffield,2023-02-01T00:00:00Z,2023,2/1/2023,pm10,16.08695652
Sheffield,2023-02-01T00:00:00Z,2023,2/1/2023,pm25,13.56521739
Sheffield,2023-03-01T00:00:00Z,2023,3/1/2023,no2,14.44444444
Sheffield,2023-03-01T00:00:00Z,2023,3/1/2023,o3,33.63888889
Sheffield,2023-03-01T00:00:00Z,2023,3/1/2023,pm10,9.161290323
Sheffield,2023-03-01T00:00:00Z,2023,3/1/2023,pm25,7.290322581
Sheffield,2023-04-01T00:00:00Z,2023,4/1/2023,no2,27.07142857
Sheffield,2023-04-01T00:00:00Z,2023,4/1/2023,o3,19.45238095
Sheffield,2023-04-01T00:00:00Z,2023,4/1/2023,pm10,9.857142857
Sheffield,2023-04-01T00:00:00Z,2023,4/1/2023,pm25,7.833333333
Sheffield,2023-05-01T00:00:00Z,2023,5/1/2023,no2,16.625
Sheffield,2023-05-01T00:00:00Z,2023,5/1/2023,o3,37.775
Sheffield,2023-05-01T00:00:00Z,2023,5/1/2023,pm10,11
Sheffield,2023-05-01T00:00:00Z,2023,5/1/2023,pm25,8.725
Sheffield,2023-06-01T00:00:00Z,2023,6/1/2023,no2,28.13636364
Sheffield,2023-06-01T00:00:00Z,2023,6/1/2023,o3,21.09090909
Sheffield,2023-06-01T00:00:00Z,2023,6/1/2023,pm10,13.27272727
Sheffield,2023-06-01T00:00:00Z,2023,6/1/2023,pm25,9.704545455
Sheffield,2023-07-01T00:00:00Z,2023,7/1/2023,no2,17.39130435
Sheffield,2023-07-01T00:00:00Z,2023,7/1/2023,o3,30.56521739
Sheffield,2023-07-01T00:00:00Z,2023,7/1/2023,pm10,11.60869565
Sheffield,2023-07-01T00:00:00Z,2023,7/1/2023,pm25,8.130434783
Sheffield,2023-08-01T00:00:00Z,2023,8/1/2023,no2,16.09090909
Sheffield,2023-08-01T00:00:00Z,2023,8/1/2023,o3,38.52272727
Sheffield,2023-08-01T00:00:00Z,2023,8/1/2023,pm10,9.954545455
Sheffield,2023-08-01T00:00:00Z,2023,8/1/2023,pm25,6.386363636
Sheffield,2023-09-01T00:00:00Z,2023,9/1/2023,no2,12.59090909
Sheffield,2023-09-01T00:00:00Z,2023,9/1/2023,o3,47.36363636
Sheffield,2023-09-01T00:00:00Z,2023,9/1/2023,pm10,11.29545455
Sheffield,2023-09-01T00:00:00Z,2023,9/1/2023,pm25,6.386363636
Sheffield,2023-10-01T00:00:00Z,2023,10/1/2023,no2,14.66666667
Sheffield,2023-10-01T00:00:00Z,2023,10/1/2023,o3,49.4
Sheffield,2023-10-01T00:00:00Z,2023,10/1/2023,pm10,8.355555556
Sheffield,2023-10-01T00:00:00Z,2023,10/1/2023,pm25,4.688888889
Sheffield,2023-11-01T00:00:00Z,2023,11/1/2023,no2,21.88888889
Sheffield,2023-11-01T00:00:00Z,2023,11/1/2023,o3,42.35555556
Sheffield,2023-11-01T00:00:00Z,2023,11/1/2023,pm10,7.755555556
