location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2011-05-20T23:09:00Z,µg/m³,5,49,11,9
Sheffield Devonshire Green - UKA00575,2011-05-20T23:10:00Z,µg/m³,6,49,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:11:00Z,µg/m³,6,49,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:12:00Z,µg/m³,6,49,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:13:00Z,µg/m³,9,48,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:14:00Z,µg/m³,11,47,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:15:00Z,µg/m³,8,47,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:16:00Z,µg/m³,7,47,9,7
Sheffield Devonshire Green - UKA00575,2011-05-20T23:17:00Z,µg/m³,10,47,9,7
Sheffield Devonshire Green - UKA00575,2011-05-20T23:18:00Z,µg/m³,23,45,9,7
Sheffield Devonshire Green - UKA00575,2011-05-20T23:19:00Z,µg/m³,33,41,10,8
Sheffield Devonshire Green - UKA00575,2011-05-20T23:20:00Z,µg/m³,41,35,13,10
Sheffield Devonshire Green - UKA00575,2011-05-20T23:21:00Z,µg/m³,25,32,13,11
Sheffield Devonshire Green - UKA00575,2011-05-20T23:22:00Z,µg/m³,19,30,13,11
Sheffield Devonshire Green - UKA00575,2011-05-20T23:23:00Z,µg/m³,19,28,13,10
Sheffield Devonshire Green - UKA00575,2011-06-20T23:00:00Z,µg/m³,10,25,13,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:02:00Z,µg/m³,9,23,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:03:00Z,µg/m³,9,24,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:04:00Z,µg/m³,6,29,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:05:00Z,µg/m³,6,31,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:06:00Z,µg/m³,7,34,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:07:00Z,µg/m³,13,35,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:08:00Z,µg/m³,15,35,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:09:00Z,µg/m³,12,36,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:10:00Z,µg/m³,7,39,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:11:00Z,µg/m³,7,39,15,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:12:00Z,µg/m³,5,43,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:13:00Z,µg/m³,6,45,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:15:00Z,µg/m³,8,48,15,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:16:00Z,µg/m³,13,50,15,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:17:00Z,µg/m³,15,50,15,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:18:00Z,µg/m³,18,48,14,11
Sheffield Devonshire Green - UKA00575,2011-06-20T23:19:00Z,µg/m³,16,46,13,10
Sheffield Devonshire Green - UKA00575,2011-06-20T23:20:00Z,µg/m³,30,42,10,7
Sheffield Devonshire Green - UKA00575,2011-06-20T23:21:00Z,µg/m³,30,40,9,6
Sheffield Devonshire Green - UKA00575,2011-06-20T23:22:00Z,µg/m³,20,36,9,5
Sheffield Devonshire Green - UKA00575,2011-06-20T23:23:00Z,µg/m³,20,34,8,5
Sheffield Devonshire Green - UKA00575,2011-07-20T23:00:00Z,µg/m³,15,31,8,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:02:00Z,µg/m³,8,31,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:03:00Z,µg/m³,8,30,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:04:00Z,µg/m³,5,35,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:05:00Z,µg/m³,5,37,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:06:00Z,µg/m³,8,40,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:07:00Z,µg/m³,8,42,7,4
