location_name,parameter,value,unit,datetimeLocal
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,1/1/2024 2:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,1/1/2024 3:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/1/2024 4:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/1/2024 5:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,1/1/2024 6:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,1/1/2024 7:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,1/1/2024 8:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,1/1/2024 9:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/1/2024 10:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/1/2024 11:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,1/1/2024 12:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/1/2024 13:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,1/1/2024 14:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,1/1/2024 15:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,1/1/2024 16:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,1/1/2024 17:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,1/1/2024 18:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,1/1/2024 19:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,1/1/2024 20:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,1/1/2024 21:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,1/1/2024 22:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,1/1/2024 23:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,1/2/2024 0:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,1/2/2024 2:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,1/2/2024 3:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,1/2/2024 4:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,1/2/2024 5:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/2/2024 6:00
Sheffield Devonshire Green - UKA00575,no2,17,µg/m³,1/2/2024 7:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,1/2/2024 8:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,1/2/2024 9:00
Sheffield Devonshire Green - UKA00575,no2,18,µg/m³,1/2/2024 10:00
Sheffield Devonshire Green - UKA00575,no2,41,µg/m³,1/2/2024 11:00
Sheffield Devonshire Green - UKA00575,no2,47,µg/m³,1/2/2024 12:00
Sheffield Devonshire Green - UKA00575,no2,43,µg/m³,1/2/2024 13:00
Sheffield Devonshire Green - UKA00575,no2,47,µg/m³,1/2/2024 14:00
Sheffield Devonshire Green - UKA00575,no2,35,µg/m³,1/2/2024 15:00
Sheffield Devonshire Green - UKA00575,no2,28,µg/m³,1/2/2024 16:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,1/2/2024 17:00
Sheffield Devonshire Green - UKA00575,no2,15,µg/m³,1/2/2024 18:00
Sheffield Devonshire Green - UKA00575,no2,32,µg/m³,1/2/2024 20:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,1/2/2024 22:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,1/2/2024 23:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,1/3/2024 0:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/3/2024 2:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,1/3/2024 3:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,1/3/2024 4:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,1/3/2024 5:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,1/3/2024 6:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,1/3/2024 7:00
Sheffield Devonshire Green - UKA00575,no2,23,µg/m³,1/3/2024 8:00
Sheffield Devonshire Green - UKA00575,no2,30,µg/m³,1/3/2024 9:00
Sheffield Devonshire Green - UKA00575,no2,33,µg/m³,1/3/2024 10:00
Sheffield Devonshire Green - UKA00575,no2,35,µg/m³,1/3/2024 11:00
Sheffield Devonshire Green - UKA00575,no2,33,µg/m³,1/3/2024 12:00
Sheffield Devonshire Green - UKA00575,no2,29,µg/m³,1/3/2024 13:00
Sheffield Devonshire Green - UKA00575,no2,25,µg/m³,1/3/2024 14:00
Sheffield Devonshire Green - UKA00575,no2,25,µg/m³,1/3/2024 15:00
Sheffield Devonshire Green - UKA00575,no2,25,µg/m³,1/3/2024 16:00
Sheffield Devonshire Green - UKA00575,no2,25,µg/m³,1/3/2024 17:00
Sheffield Devonshire Green - UKA00575,no2,24,µg/m³,1/3/2024 18:00
Sheffield Devonshire Green - UKA00575,no2,19,µg/m³,1/3/2024 19:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,1/3/2024 20:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,1/3/2024 22:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,1/3/2024 23:00
Sheffield Devonshire Green - UKA00575,no2,21,µg/m³,1/4/2024 0:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,1/4/2024 2:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,1/4/2024 3:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,1/4/2024 4:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,1/4/2024 5:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,1/4/2024 6:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,1/4/2024 7:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,1/4/2024 8:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,1/4/2024 9:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,1/4/2024 10:00
Sheffield Devonshire Green - UKA00575,no2,16,µg/m³,1/4/2024 11:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,1/4/2024 12:00
