location_name,parameter,value,unit,datetimeLocal
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/26/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/26/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,12/26/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,12/26/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,12/26/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,20,µg/m³,12/26/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,27,µg/m³,12/26/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,48,µg/m³,12/26/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,38,µg/m³,12/26/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,33,µg/m³,12/26/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,33,µg/m³,12/26/2023 21:00
Sheffield Devonshire Green - UKA00575,no2,28,µg/m³,12/26/2023 22:00
Sheffield Devonshire Green - UKA00575,no2,28,µg/m³,12/26/2023 23:00
Sheffield Devonshire Green - UKA00575,no2,31,µg/m³,12/27/2023 0:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,12/27/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,12/27/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/27/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/27/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,12/27/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,12/27/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,12,µg/m³,12/27/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,12/27/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,14,µg/m³,12/27/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,13,µg/m³,12/27/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,10,µg/m³,12/27/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,12/27/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,12/27/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/27/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/27/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/27/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/27/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/27/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/27/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/27/2023 21:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/27/2023 23:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/28/2023 0:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/28/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/28/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/28/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/28/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/28/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/28/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/28/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/28/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/28/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/28/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/28/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/28/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/28/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/28/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/28/2023 21:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/28/2023 23:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/29/2023 0:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/29/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/29/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/29/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/29/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,1,µg/m³,12/29/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/29/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/29/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/29/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/29/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/29/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/29/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/29/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/29/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,12/29/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,11,µg/m³,12/29/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,9,µg/m³,12/29/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/29/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/29/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/29/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/29/2023 21:00
