city,month,year,no2,o3,pm10,pm25
Sheffield,2025-01-01T00:00:00Z,2025,17.91023942,42.55122335,12.10759494,6.462025316
Sheffield,2025-02-01T00:00:00Z,2025,18.21714363,43.84305108,11.69375,6.4
Sheffield,2025-03-01T00:00:00Z,2025,9.546454802,50.50377661,12.04368932,6.805825243
Sheffield,2025-04-01T00:00:00Z,2025,8.533253106,50.20720906,12.06133829,7.267657993
Sheffield,2025-05-01T00:00:00Z,2025,7.423313525,62.59179877,12.97310924,6.605042017
Sheffield,2025-06-01T00:00:00Z,2025,9.012423469,58.33893807,10.8159292,5.674336283
Sheffield,2025-07-01T00:00:00Z,2025,9.872246287,46.21806687,10.24610052,6.185441941
Sheffield,2025-08-01T00:00:00Z,2025,10.88878231,52.57698773,11.86934673,6.266331658
Sheffield,2025-09-01T00:00:00Z,2025,14.67028431,41.04162149,9.961977186,5.733840304
Sheffield,2025-10-01T00:00:00Z,2025,18.16894518,40.22206163,12.91479821,8.733183857
Sheffield,2025-11-01T00:00:00Z,2025,17.70941502,45.28360123,14.05660377,8.031446541
Sheffield,2025-12-01T00:00:00Z,2025,16.24843344,52.5268203,18.6625,10.6
