city,location_name,month,year,no2,o3,pm10,pm25,so2
Hull,Hull Freetown - UKA00450,2023-01-01T00:00:00Z,2023,19.15277777777778,50.986111111111114,9.430555555555555,5.666666666666667,1.9861111111111112
Hull,Hull Freetown - UKA00450,2023-02-01T00:00:00Z,2023,24.15277777777778,38.35616438356164,11.452054794520548,7.36986301369863,2.111111111111111
Hull,Hull Freetown - UKA00450,2023-03-01T00:00:00Z,2023,19.532258064516128,36.75806451612903,10.774193548387096,7.806451612903226,1.8870967741935485
Hull,Hull Freetown - UKA00450,2023-04-01T00:00:00Z,2023,16.895522388059703,42.62686567164179,10.850746268656716,7.970149253731344,2
Hull,Hull Freetown - UKA00450,2023-05-01T00:00:00Z,2023,17.984615384615385,45.707692307692305,9.476923076923077,5.723076923076923,1.9076923076923078
Hull,Hull Freetown - UKA00450,2023-06-01T00:00:00Z,2023,32.608695652173914,34.04347826086956,14.695652173913043,9.956521739130435,3.5072463768115942
Hull,Hull Freetown - UKA00450,2023-07-01T00:00:00Z,2023,18.77777777777778,41.763888888888886,11.25,7.055555555555555,2.2916666666666665
Hull,Hull Freetown - UKA00450,2023-08-01T00:00:00Z,2023,20.757142857142856,45.371428571428574,10.571428571428571,6.585714285714285,2.283333333333333
Hull,Hull Freetown - UKA00450,2023-09-01T00:00:00Z,2023,21.5,44.51428571428571,14.314285714285715,7.0285714285714285,2.702127659574468
Hull,Hull Freetown - UKA00450,2023-10-01T00:00:00Z,2023,19,49.59154929577465,11.633802816901408,5.704225352112676,2.5272727272727273
Hull,Hull Freetown - UKA00450,2023-11-01T00:00:00Z,2023,23.71212121212121,45.46969696969697,10.863636363636363,6.136363636363637,3.227272727272727
Hull,Hull Freetown - UKA00450,2023-12-01T00:00:00Z,2023,30.022222222222222,16.77777777777778,21.266666666666666,16.466666666666665,3.977777777777778
Hull,Hull Freetown - UKA00450,2024-01-01T00:00:00Z,2024,14.686567164179104,48.97014925373134,11.340425531914894,6,2.234042553191489
Hull,Hull Freetown - UKA00450,2024-02-01T00:00:00Z,2024,17.690140845070424,55.84507042253521,9.037735849056604,4.886792452830188,2.188679245283019
Hull,Hull Freetown - UKA00450,2024-03-01T00:00:00Z,2024,24.35632183908046,46.43023255813954,8.04225352112676,5.084507042253521,1.619718309859155
Hull,Hull Freetown - UKA00450,2024-04-01T00:00:00Z,2024,26.924050632911392,36.88607594936709,17.115942028985508,10.826086956521738,1.7536231884057971
Hull,Hull Freetown - UKA00450,2024-05-01T00:00:00Z,2024,18.438356164383563,43.861111111111114,22.76271186440678,10.728813559322035,1.0754716981132075
Hull,Hull Freetown - UKA00450,2024-06-01T00:00:00Z,2024,16.426470588235293,43.794117647058826,12,5.909090909090909,1
Hull,Hull Freetown - UKA00450,2024-07-01T00:00:00Z,2024,21.142857142857142,48.922077922077925,16.724137931034484,10.120689655172415,1.4310344827586208
Hull,Hull Freetown - UKA00450,2024-08-01T00:00:00Z,2024,15.8625,48.925,23.183333333333334,14.15,1.3833333333333333
Hull,Hull Freetown - UKA00450,2024-09-01T00:00:00Z,2024,16.916666666666668,54.80555555555556,21.571428571428573,12.946428571428571,1.5535714285714286
Hull,Hull Freetown - UKA00450,2024-10-01T00:00:00Z,2024,20.555555555555557,42.382716049382715,20.962962962962962,14.11111111111111,1.3888888888888888
Hull,Hull Freetown - UKA00450,2024-11-01T00:00:00Z,2024,15.302631578947368,53.671052631578945,22.65,15.083333333333334,1.3103448275862069
Hull,Hull Freetown - UKA00450,2024-12-01T00:00:00Z,2024,21.46987951807229,44.30769230769231,19.65714285714286,11.9,1.5571428571428572
Hull,Hull Freetown - UKA00450,2025-01-01T00:00:00Z,2025,21.347948795180724,44.33389997601918,16.16891891891892,7.743243243243243,2.0579710144927534
Hull,Hull Freetown - UKA00450,2025-02-01T00:00:00Z,2025,18.943400852878465,50.56974053304904,14.440251572327044,7.113207547169812,1.75177304964539
Hull,Hull Freetown - UKA00450,2025-03-01T00:00:00Z,2025,13.54888440860215,53.188307903225805,14.019417475728156,7.097087378640777,1.6323529411764706
Hull,Hull Freetown - UKA00450,2025-04-01T00:00:00Z,2025,15.730408950617283,49.25767316770186,15.629562043795621,8.72992700729927,2.0182481751824817
Hull,Hull Freetown - UKA00450,2025-05-01T00:00:00Z,2025,12.35455459770115,58.238168505747126,16.563025210084035,7.845378151260504,2.2822719449225475
Hull,Hull Freetown - UKA00450,2025-06-01T00:00:00Z,2025,13.250207182320443,57.89148758747698,12.900542495479204,6.518987341772152,1.563734290843806
Hull,Hull Freetown - UKA00450,2025-07-01T00:00:00Z,2025,12.36549919484702,49.77023057784912,14.328813559322034,7.379661016949153,0.7760683760683761
Hull,Hull Freetown - UKA00450,2025-08-01T00:00:00Z,2025,13.1912077294686,54.07568842190016,13.792294807370185,6.21608040201005,1.0833333333333333
Hull,Hull Freetown - UKA00450,2025-09-01T00:00:00Z,2025,15.768075471698113,41.534894528301884,12.737547892720306,6.329501915708812,1.122340425531915
Hull,Hull Freetown - UKA00450,2025-10-01T00:00:00Z,2025,14.758081683168317,46.39565863036304,12.497757847533633,7.139013452914798,3.0619047619047617
Hull,Hull Freetown - UKA00450,2025-11-01T00:00:00Z,2025,19.074059405940595,48.805902524752476,17.28301886792453,9.11320754716981,1.1132075471698113
Hull,Hull Freetown - UKA00450,2025-12-01T00:00:00Z,2025,15.150268987341772,55.701556751592356,20.91875,12.65,1.3660130718954249
Hull,Hull Freetown - UKA00450,NA,NA,16.189116913764174,50.805623164080366,12.985721170096813,7.355652395921716,1.7973964566637928
