Hull,Hull Freetown - UKA00450,7/17/2025,14.09697917,53.7787825,14.65217391,6.782608696,0.391304348,2025
Hull,Hull Freetown - UKA00450,7/18/2025,18.31463542,48.86122,20.60869565,11.52173913,1.043478261,2025
Hull,Hull Freetown - UKA00450,7/19/2025,18.50223958,44.27923042,18,9.869565217,1,2025
Hull,Hull Freetown - UKA00450,7/20/2025,12.10015625,46.62946333,24.39130435,14.60869565,1,2025
Hull,Hull Freetown - UKA00450,7/21/2025,12.23609375,45.87114792,14.7826087,6.043478261,1.043478261,2025
Hull,Hull Freetown - UKA00450,7/22/2025,12.04984375,52.47853167,10.30434783,4.391304348,0.391304348,2025
Hull,Hull Freetown - UKA00450,7/23/2025,6.703541667,45.30434783,13.13043478,8.47826087,0.347826087,2025
Hull,Hull Freetown - UKA00450,7/24/2025,5.429635417,47.96351333,18.34782609,12.26086957,0.347826087,2025
Hull,Hull Freetown - UKA00450,7/25/2025,10.7734375,54.72003708,19.43478261,12.7826087,0.739130435,2025
Hull,Hull Freetown - UKA00450,7/26/2025,7.091979167,55.56114833,17.82608696,12,0.217391304,2025
Hull,Hull Freetown - UKA00450,7/27/2025,5.8028125,47.50446333,9.434782609,5,0.043478261,2025
Hull,Hull Freetown - UKA00450,7/28/2025,8.139456522,51.13988125,9.913043478,5.260869565,0.454545455,2025
Hull,Hull Freetown - UKA00450,7/29/2025,6.958541667,51.38733083,11.17391304,4.043478261,0.260869565,2025
Hull,Hull Freetown - UKA00450,7/30/2025,11.76911458,44.26206208,14.17391304,5.695652174,0.652173913,2025
Hull,Hull Freetown - UKA00450,7/31/2025,6.712884615,40.79283333,12.9375,5.5625,0.083333333,2025
Hull,Hull Freetown - UKA00450,8/1/2025,43.764375,30.36790167,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,8/2/2025,10.27285714,53.17115,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,8/3/2025,31.919625,48.116327,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,8/4/2025,NA,NA,17.47826087,8.391304348,3.260869565,2025
Hull,Hull Freetown - UKA00450,8/5/2025,NA,NA,11.69565217,5.173913043,1.52173913,2025
Hull,Hull Freetown - UKA00450,8/6/2025,3.565217391,61.26086957,5.739130435,2.608695652,1,2025
Hull,Hull Freetown - UKA00450,8/7/2025,5.714479167,61.87686542,13.2173913,5,1,2025
Hull,Hull Freetown - UKA00450,8/8/2025,18.04208333,47.17104042,13.82608696,7.304347826,0.695652174,2025
Hull,Hull Freetown - UKA00450,8/9/2025,17.52958333,48.6453775,12.69565217,5.565217391,0.956521739,2025
Hull,Hull Freetown - UKA00450,8/10/2025,18.96921875,41.75589667,10.91304348,5.217391304,1,2025
Hull,Hull Freetown - UKA00450,8/11/2025,24.384375,23.7987225,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,8/13/2025,18.9646875,77.31838875,30.82608696,17.52173913,0.869565217,2025
Hull,Hull Freetown - UKA00450,8/14/2025,16.21328125,55.16261958,23.81818182,11.77272727,0.909090909,2025
Hull,Hull Freetown - UKA00450,8/15/2025,6.453541667,54.16263542,11.34782609,5.434782609,0.086956522,2025
Hull,Hull Freetown - UKA00450,8/16/2025,3.452864583,64.76858583,15.04347826,7.695652174,0.136363636,2025
Hull,Hull Freetown - UKA00450,8/17/2025,4.84015625,53.36157833,11.04347826,6,0.565217391,2025
Hull,Hull Freetown - UKA00450,8/18/2025,6.133645833,57.5776,13.17391304,5.913043478,0.347826087,2025
Hull,Hull Freetown - UKA00450,8/19/2025,7.076041667,58.8197325,8.391304348,3.347826087,0.636363636,2025
Hull,Hull Freetown - UKA00450,8/20/2025,5.322395833,63.41996542,14.47826087,4.826086957,1,2025
Hull,Hull Freetown - UKA00450,8/21/2025,6.1115625,66.00240292,16.47826087,5.304347826,1.47826087,2025
Hull,Hull Freetown - UKA00450,8/22/2025,21.34782609,41.95652174,13.91304348,5.086956522,1.130434783,2025
Hull,Hull Freetown - UKA00450,8/23/2025,13.42234375,52.42854958,12.95652174,5.869565217,1.391304348,2025
Hull,Hull Freetown - UKA00450,8/24/2025,16.50270833,55.761435,12.34782609,5.434782609,2.782608696,2025
Hull,Hull Freetown - UKA00450,8/25/2025,14.77114583,72.49426667,15.73913043,7.565217391,1.173913043,2025
Hull,Hull Freetown - UKA00450,8/26/2025,19.26086957,70.30434783,15.13043478,5.913043478,1.434782609,2025
Hull,Hull Freetown - UKA00450,8/27/2025,18.02614583,50.95439167,16.04347826,6.47826087,1.260869565,2025
Hull,Hull Freetown - UKA00450,8/28/2025,16.37270833,43.39546708,12,4.565217391,1.117647059,2025
