city,location_name,date,no2,o3,pm10,pm25,so2,year
Hull,Hull Freetown - UKA00450,5/11/2025,17.14597826,34.17853174,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,5/13/2025,NA,NA,31.65217391,18.52173913,3.260869565,2025
Hull,Hull Freetown - UKA00450,5/14/2025,8.363636364,77.45454545,23.73913043,11.60869565,2.739130435,2025
Hull,Hull Freetown - UKA00450,5/15/2025,5.427135417,80.63410583,27.73913043,10.65217391,2.434782609,2025
Hull,Hull Freetown - UKA00450,5/16/2025,5.418020833,73.87713417,29.04347826,12.73913043,2.304347826,2025
Hull,Hull Freetown - UKA00450,5/17/2025,3.260869565,82.86956522,21.56521739,9.826086957,2.304347826,2025
Hull,Hull Freetown - UKA00450,5/18/2025,2.608695652,85.13043478,21.47826087,11.91304348,2.260869565,2025
Hull,Hull Freetown - UKA00450,5/19/2025,7.259673913,75.02741652,18.63636364,9.227272727,2.818181818,2025
Hull,Hull Freetown - UKA00450,5/20/2025,9.695652174,71.43478261,17.56521739,10.30434783,2.304347826,2025
Hull,Hull Freetown - UKA00450,5/21/2025,9.224479167,63.10191917,24.39130435,12.04347826,3.260869565,2025
Hull,Hull Freetown - UKA00450,5/22/2025,5.429635417,66.11917708,25.13043478,9.956521739,2.52173913,2025
Hull,Hull Freetown - UKA00450,5/23/2025,10.00635417,63.05505667,15.56521739,6.086956522,2.826086957,2025
Hull,Hull Freetown - UKA00450,5/24/2025,16.051875,46.56249208,13.82608696,6.652173913,2.826086957,2025
Hull,Hull Freetown - UKA00450,5/25/2025,9.503385417,56.27279625,11.26086957,6.304347826,2.826086957,2025
Hull,Hull Freetown - UKA00450,5/26/2025,11.33921875,60.25419458,9.086956522,4,2.652173913,2025
Hull,Hull Freetown - UKA00450,5/27/2025,15.66255208,59.59432042,7.391304348,3.304347826,3.043478261,2025
Hull,Hull Freetown - UKA00450,5/28/2025,12.43645833,55.845485,9.47826087,5.565217391,2.304347826,2025
Hull,Hull Freetown - UKA00450,5/29/2025,13.45921875,42.87767167,8.652173913,4.347826087,2.434782609,2025
Hull,Hull Freetown - UKA00450,5/30/2025,15.26182292,36.87302917,7.913043478,3.130434783,3.130434783,2025
Hull,Hull Freetown - UKA00450,5/31/2025,22.33989583,37.67881833,10,5.47826087,2.826086957,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/20/2023,14.44444444,33.63888889,9.161290323,7.290322581,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,4/20/2023,27.07142857,19.45238095,9.857142857,7.833333333,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,5/20/2023,16.625,37.775,11,8.725,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,3/21/2024,22.95238095,46.61904762,6.417910448,4.776119403,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,4/21/2024,25.55844156,39.06493506,10.02985075,6.701492537,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,5/21/2024,23.46511628,46.15116279,16.54545455,9.121212121,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,3/1/2025,16.99734375,51.788415,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/2/2025,13.2175,48.38463778,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/3/2025,17.2125,55.181105,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/4/2025,NA,NA,22.47826087,14.43478261,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/5/2025,NA,NA,13.47826087,6.52173913,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/6/2025,2.434782609,67.30434783,8.869565217,4.391304348,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/7/2025,5.296666667,57.53706278,6.434782609,3.217391304,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/8/2025,8.008177083,50.47871083,8.47826087,5.130434783,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/9/2025,11.16755208,33.62222292,7.304347826,4.173913043,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/10/2025,8.7121875,43.91987583,10.34782609,6.826086957,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/11/2025,7.041477273,54.61868045,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/13/2025,24.96875,53.21866667,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/14/2025,21.0375,42.408625,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/30/2025,NA,NA,13.77272727,7.409090909,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,3/31/2025,NA,NA,17.30434783,9.173913043,NA,2025
