location_name,datetimeLocal,unit,no2,o3,pm10,pm25,city,so2
Sheffield Devonshire Green - UKA00575,2024-03-21T00:13:00Z,µg/m³,29,29,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:14:00Z,µg/m³,25,29,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:15:00Z,µg/m³,25,28,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:16:00Z,µg/m³,25,28,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:17:00Z,µg/m³,25,28,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:18:00Z,µg/m³,24,32,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:19:00Z,µg/m³,19,35,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:20:00Z,µg/m³,14,38,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:22:00Z,µg/m³,13,42,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-03-21T00:23:00Z,µg/m³,13,43,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:00:00Z,µg/m³,21,43,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:02:00Z,µg/m³,8,44,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:03:00Z,µg/m³,8,43,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:04:00Z,µg/m³,9,42,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:05:00Z,µg/m³,9,42,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:06:00Z,µg/m³,11,41,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:07:00Z,µg/m³,6,42,4,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:08:00Z,µg/m³,13,43,4,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:09:00Z,µg/m³,10,46,4,3,Sheffield,NA
