location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2023-01-20T23:01:00Z,µg/m³,26,45,8,6,3
Hull Freetown - UKA00450,2023-01-20T23:02:00Z,µg/m³,13,47,8,6,3
Hull Freetown - UKA00450,2023-01-20T23:03:00Z,µg/m³,8,49,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:04:00Z,µg/m³,11,53,7,5,4
Hull Freetown - UKA00450,2023-01-20T23:05:00Z,µg/m³,9,57,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:06:00Z,µg/m³,5,61,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:07:00Z,µg/m³,14,62,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:08:00Z,µg/m³,19,63,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:09:00Z,µg/m³,14,65,7,5,3
Hull Freetown - UKA00450,2023-01-20T23:10:00Z,µg/m³,13,65,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:11:00Z,µg/m³,14,65,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:12:00Z,µg/m³,14,65,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:13:00Z,µg/m³,17,64,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:14:00Z,µg/m³,11,63,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:15:00Z,µg/m³,23,63,8,5,3
Hull Freetown - UKA00450,2023-01-20T23:16:00Z,µg/m³,24,62,8,5,3
Hull Freetown - UKA00450,2023-01-20T23:17:00Z,µg/m³,18,61,8,5,3
Hull Freetown - UKA00450,2023-01-20T23:18:00Z,µg/m³,18,60,8,5,3
Hull Freetown - UKA00450,2023-01-20T23:19:00Z,µg/m³,25,57,8,5,2
Hull Freetown - UKA00450,2023-01-20T23:20:00Z,µg/m³,11,57,9,5,3
Hull Freetown - UKA00450,2023-01-20T23:21:00Z,µg/m³,10,56,9,5,3
Hull Freetown - UKA00450,2023-01-20T23:22:00Z,µg/m³,17,53,10,6,2
Hull Freetown - UKA00450,2023-01-20T23:23:00Z,µg/m³,17,53,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:00:00Z,µg/m³,14,54,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:01:00Z,µg/m³,7,55,10,5,2
Hull Freetown - UKA00450,2023-02-20T23:02:00Z,µg/m³,15,55,10,5,2
Hull Freetown - UKA00450,2023-02-20T23:03:00Z,µg/m³,14,56,10,5,2
Hull Freetown - UKA00450,2023-02-20T23:04:00Z,µg/m³,17,54,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:05:00Z,µg/m³,15,53,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:06:00Z,µg/m³,17,52,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:07:00Z,µg/m³,21,50,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:08:00Z,µg/m³,13,49,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:09:00Z,µg/m³,22,46,10,6,2
Hull Freetown - UKA00450,2023-02-20T23:10:00Z,µg/m³,17,44,10,6,3
Hull Freetown - UKA00450,2023-02-20T23:11:00Z,µg/m³,19,43,10,6,3
Hull Freetown - UKA00450,2023-02-20T23:12:00Z,µg/m³,12,45,9,6,3
Hull Freetown - UKA00450,2023-02-20T23:13:00Z,µg/m³,14,47,9,6,3
Hull Freetown - UKA00450,2023-02-20T23:14:00Z,µg/m³,14,48,9,6,3
Hull Freetown - UKA00450,2023-02-20T23:15:00Z,µg/m³,10,53,9,6,3
Hull Freetown - UKA00450,2023-02-20T23:16:00Z,µg/m³,28,53,9,5,2
Hull Freetown - UKA00450,2023-02-20T23:17:00Z,µg/m³,42,52,8,5,2
Hull Freetown - UKA00450,2023-02-20T23:18:00Z,µg/m³,68,49,8,5,3
Hull Freetown - UKA00450,2023-02-20T23:19:00Z,µg/m³,74,43,8,5,4
Hull Freetown - UKA00450,2023-02-20T23:20:00Z,µg/m³,71,36,8,5,4
Hull Freetown - UKA00450,2023-02-20T23:21:00Z,µg/m³,68,29,8,6,3
Hull Freetown - UKA00450,2023-02-20T23:22:00Z,µg/m³,53,23,8,6,3
Hull Freetown - UKA00450,2023-02-20T23:23:00Z,µg/m³,31,17,8,6,2
Hull Freetown - UKA00450,2023-03-20T23:00:00Z,µg/m³,41,12,9,6,3
Hull Freetown - UKA00450,2023-03-20T23:01:00Z,µg/m³,37,10,10,7,2
Hull Freetown - UKA00450,2023-03-20T23:02:00Z,µg/m³,21,12,10,7,2
Hull Freetown - UKA00450,2023-03-20T23:03:00Z,µg/m³,16,15,10,8,2
Hull Freetown - UKA00450,2023-03-20T23:04:00Z,µg/m³,10,20,11,8,2
Hull Freetown - UKA00450,2023-03-20T23:05:00Z,µg/m³,11,25,11,8,2
Hull Freetown - UKA00450,2023-03-20T23:06:00Z,µg/m³,20,28,11,8,3
Hull Freetown - UKA00450,2023-03-20T23:07:00Z,µg/m³,17,31,11,8,4
Hull Freetown - UKA00450,2023-03-20T23:08:00Z,µg/m³,21,34,11,8,3
Hull Freetown - UKA00450,2023-03-20T23:09:00Z,µg/m³,32,37,11,8,3
Hull Freetown - UKA00450,2023-03-20T23:10:00Z,µg/m³,18,39,11,8,2
Hull Freetown - UKA00450,2023-03-20T23:11:00Z,µg/m³,19,41,11,8,2
Hull Freetown - UKA00450,2023-03-20T23:12:00Z,µg/m³,20,41,11,9,2
Hull Freetown - UKA00450,2023-03-20T23:13:00Z,µg/m³,23,41,12,9,1
Hull Freetown - UKA00450,2023-03-20T23:14:00Z,µg/m³,19,42,12,9,1
Hull Freetown - UKA00450,2023-03-20T23:15:00Z,µg/m³,17,43,12,9,2
Hull Freetown - UKA00450,2023-03-20T23:16:00Z,µg/m³,17,45,12,9,2
Hull Freetown - UKA00450,2023-03-20T23:17:00Z,µg/m³,15,48,12,9,2
Hull Freetown - UKA00450,2023-03-20T23:18:00Z,µg/m³,13,50,11,9,3
Hull Freetown - UKA00450,2023-03-20T23:19:00Z,µg/m³,13,51,11,8,3
Hull Freetown - UKA00450,2023-03-20T23:20:00Z,µg/m³,13,53,11,8,3
Hull Freetown - UKA00450,2023-03-20T23:21:00Z,µg/m³,13,54,10,8,3
Hull Freetown - UKA00450,2023-03-20T23:22:00Z,µg/m³,10,58,9,7,2
Hull Freetown - UKA00450,2023-03-20T23:23:00Z,µg/m³,21,57,9,7,2
Hull Freetown - UKA00450,2023-04-20T23:00:00Z,µg/m³,9,58,8,6,2
Hull Freetown - UKA00450,2023-04-20T23:01:00Z,µg/m³,7,60,7,6,2
Hull Freetown - UKA00450,2023-04-20T23:02:00Z,µg/m³,7,61,7,5,2
Hull Freetown - UKA00450,2023-04-20T23:03:00Z,µg/m³,9,62,6,5,2
Hull Freetown - UKA00450,2023-04-20T23:04:00Z,µg/m³,4,64,6,4,3
Hull Freetown - UKA00450,2023-04-20T23:05:00Z,µg/m³,5,64,6,4,2
Hull Freetown - UKA00450,2023-04-20T23:06:00Z,µg/m³,8,64,5,4,2
Hull Freetown - UKA00450,2023-04-20T23:07:00Z,µg/m³,13,65,5,4,2
Hull Freetown - UKA00450,2023-04-20T23:08:00Z,µg/m³,17,64,5,4,1
Hull Freetown - UKA00450,2023-04-20T23:09:00Z,µg/m³,17,62,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:10:00Z,µg/m³,13,60,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:11:00Z,µg/m³,11,58,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:12:00Z,µg/m³,11,56,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:13:00Z,µg/m³,12,56,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:14:00Z,µg/m³,13,56,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:15:00Z,µg/m³,10,56,5,3,2
Hull Freetown - UKA00450,2023-04-20T23:16:00Z,µg/m³,14,57,6,3,2
Hull Freetown - UKA00450,2023-04-20T23:17:00Z,µg/m³,10,57,6,3,2
Hull Freetown - UKA00450,2023-04-20T23:18:00Z,µg/m³,14,57,6,3,2
Hull Freetown - UKA00450,2023-04-20T23:19:00Z,µg/m³,17,56,6,4,1
Hull Freetown - UKA00450,2023-04-20T23:20:00Z,µg/m³,14,55,6,4,1
Hull Freetown - UKA00450,2023-04-20T23:21:00Z,µg/m³,16,53,7,4,1
Hull Freetown - UKA00450,2023-04-20T23:22:00Z,µg/m³,12,52,7,4,1
Hull Freetown - UKA00450,2023-04-20T23:23:00Z,µg/m³,13,51,7,4,1
Hull Freetown - UKA00450,2023-05-20T23:00:00Z,µg/m³,8,50,7,4,1
Hull Freetown - UKA00450,2023-05-20T23:01:00Z,µg/m³,5,50,7,4,1
Hull Freetown - UKA00450,2023-05-20T23:02:00Z,µg/m³,7,51,7,4,2
Hull Freetown - UKA00450,2023-05-20T23:03:00Z,µg/m³,6,52,8,4,1
Hull Freetown - UKA00450,2023-05-20T23:04:00Z,µg/m³,4,54,8,4,1
Hull Freetown - UKA00450,2023-05-20T23:05:00Z,µg/m³,8,56,8,5,1
Hull Freetown - UKA00450,2023-05-20T23:06:00Z,µg/m³,20,55,8,5,1
Hull Freetown - UKA00450,2023-05-20T23:07:00Z,µg/m³,23,54,8,5,1
Hull Freetown - UKA00450,2023-05-20T23:08:00Z,µg/m³,43,50,8,5,1
Hull Freetown - UKA00450,2023-05-20T23:09:00Z,µg/m³,41,45,8,5,2
Hull Freetown - UKA00450,2023-05-20T23:10:00Z,µg/m³,41,40,9,5,2
Hull Freetown - UKA00450,2023-05-20T23:11:00Z,µg/m³,37,35,9,5,3
Hull Freetown - UKA00450,2023-05-20T23:12:00Z,µg/m³,31,30,9,5,2
Hull Freetown - UKA00450,2023-05-20T23:13:00Z,µg/m³,35,26,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:14:00Z,µg/m³,36,23,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:15:00Z,µg/m³,38,22,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:16:00Z,µg/m³,30,23,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:17:00Z,µg/m³,30,26,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:18:00Z,µg/m³,28,29,10,6,2
Hull Freetown - UKA00450,2023-05-20T23:19:00Z,µg/m³,20,33,10,6,1
Hull Freetown - UKA00450,2023-05-20T23:20:00Z,µg/m³,14,37,10,6,1
Hull Freetown - UKA00450,2023-05-20T23:21:00Z,µg/m³,12,41,10,6,1
Hull Freetown - UKA00450,2023-05-20T23:22:00Z,µg/m³,11,45,9,6,1
Hull Freetown - UKA00450,2023-05-20T23:23:00Z,µg/m³,8,50,9,5,1
Hull Freetown - UKA00450,2023-06-20T23:00:00Z,µg/m³,8,54,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:01:00Z,µg/m³,6,59,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:02:00Z,µg/m³,7,64,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:03:00Z,µg/m³,7,67,9,5,1
Hull Freetown - UKA00450,2023-06-20T23:04:00Z,µg/m³,7,69,9,5,1
Hull Freetown - UKA00450,2023-06-20T23:05:00Z,µg/m³,7,71,9,5,1
Hull Freetown - UKA00450,2023-06-20T23:06:00Z,µg/m³,18,70,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:07:00Z,µg/m³,29,68,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:08:00Z,µg/m³,30,65,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:09:00Z,µg/m³,39,60,9,5,2
Hull Freetown - UKA00450,2023-06-20T23:10:00Z,µg/m³,33,55,9,5,3
Hull Freetown - UKA00450,2023-06-20T23:11:00Z,µg/m³,44,49,9,5,3
Hull Freetown - UKA00450,2023-06-20T23:12:00Z,µg/m³,30,46,9,5,3
Hull Freetown - UKA00450,2023-06-20T23:13:00Z,µg/m³,34,42,8,5,3
Hull Freetown - UKA00450,2023-06-20T23:14:00Z,µg/m³,28,41,8,4,3
Hull Freetown - UKA00450,2023-06-20T23:15:00Z,µg/m³,31,41,8,4,3
Hull Freetown - UKA00450,2023-06-20T23:16:00Z,µg/m³,29,41,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:17:00Z,µg/m³,28,43,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:18:00Z,µg/m³,15,45,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:19:00Z,µg/m³,18,48,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:20:00Z,µg/m³,15,50,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:21:00Z,µg/m³,12,52,8,4,3
Hull Freetown - UKA00450,2023-06-20T23:22:00Z,µg/m³,12,53,8,4,2
Hull Freetown - UKA00450,2023-06-20T23:23:00Z,µg/m³,14,54,8,5,2
Hull Freetown - UKA00450,2023-07-20T23:00:00Z,µg/m³,10,56,8,5,2
Hull Freetown - UKA00450,2023-07-20T23:01:00Z,µg/m³,10,58,8,5,2
Hull Freetown - UKA00450,2023-07-20T23:02:00Z,µg/m³,7,59,9,5,2
Hull Freetown - UKA00450,2023-07-20T23:03:00Z,µg/m³,6,60,9,5,2
Hull Freetown - UKA00450,2023-07-20T23:04:00Z,µg/m³,5,61,9,5,2
Hull Freetown - UKA00450,2023-07-20T23:05:00Z,µg/m³,6,62,9,5,1
Hull Freetown - UKA00450,2023-07-20T23:06:00Z,µg/m³,6,64,8,5,1
Hull Freetown - UKA00450,2023-07-20T23:07:00Z,µg/m³,5,66,8,5,2
Hull Freetown - UKA00450,2023-07-20T23:08:00Z,µg/m³,5,68,8,4,3
Hull Freetown - UKA00450,2023-07-20T23:09:00Z,µg/m³,5,68,8,4,3
Hull Freetown - UKA00450,2023-07-20T23:10:00Z,µg/m³,6,68,7,4,3
Hull Freetown - UKA00450,2023-07-20T23:11:00Z,µg/m³,8,67,7,4,3
Hull Freetown - UKA00450,2023-07-20T23:12:00Z,µg/m³,9,66,7,4,3
Hull Freetown - UKA00450,2023-07-20T23:13:00Z,µg/m³,10,65,6,4,3
Hull Freetown - UKA00450,2023-07-20T23:14:00Z,µg/m³,12,63,6,4,3
Hull Freetown - UKA00450,2023-07-20T23:15:00Z,µg/m³,14,62,5,4,3
Hull Freetown - UKA00450,2023-07-20T23:16:00Z,µg/m³,12,61,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:17:00Z,µg/m³,13,61,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:18:00Z,µg/m³,17,60,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:19:00Z,µg/m³,14,60,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:20:00Z,µg/m³,20,60,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:21:00Z,µg/m³,19,61,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:22:00Z,µg/m³,10,63,5,3,3
Hull Freetown - UKA00450,2023-07-20T23:23:00Z,µg/m³,9,65,5,3,3
Hull Freetown - UKA00450,2023-08-20T23:00:00Z,µg/m³,9,66,5,3,3
Hull Freetown - UKA00450,2023-08-20T23:01:00Z,µg/m³,7,66,5,3,3
Hull Freetown - UKA00450,2023-08-20T23:02:00Z,µg/m³,6,68,5,3,3
Hull Freetown - UKA00450,2023-08-20T23:03:00Z,µg/m³,6,69,6,3,3
Hull Freetown - UKA00450,2023-08-20T23:04:00Z,µg/m³,6,69,6,4,2
Hull Freetown - UKA00450,2023-08-20T23:05:00Z,µg/m³,7,69,6,4,2
Hull Freetown - UKA00450,2023-08-20T23:06:00Z,µg/m³,8,68,7,4,3
Hull Freetown - UKA00450,2023-08-20T23:07:00Z,µg/m³,8,68,7,4,2
Hull Freetown - UKA00450,2023-08-20T23:08:00Z,µg/m³,11,67,7,4,2
Hull Freetown - UKA00450,2023-08-20T23:09:00Z,µg/m³,8,66,7,4,2
Hull Freetown - UKA00450,2023-08-20T23:10:00Z,µg/m³,10,65,7,4,2
Hull Freetown - UKA00450,2023-08-20T23:11:00Z,µg/m³,10,65,7,4,3
Hull Freetown - UKA00450,2023-08-20T23:12:00Z,µg/m³,8,65,7,4,3
Hull Freetown - UKA00450,2023-08-20T23:13:00Z,µg/m³,9,65,7,4,3
Hull Freetown - UKA00450,2023-08-20T23:14:00Z,µg/m³,9,65,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:15:00Z,µg/m³,15,65,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:16:00Z,µg/m³,17,65,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:17:00Z,µg/m³,21,64,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:18:00Z,µg/m³,22,62,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:19:00Z,µg/m³,27,60,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:20:00Z,µg/m³,42,56,8,4,3
Hull Freetown - UKA00450,2023-08-20T23:21:00Z,µg/m³,23,53,8,5,3
Hull Freetown - UKA00450,2023-08-20T23:22:00Z,µg/m³,21,51,8,5,2
Hull Freetown - UKA00450,2023-08-20T23:23:00Z,µg/m³,25,49,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:00:00Z,µg/m³,27,47,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:01:00Z,µg/m³,18,46,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:02:00Z,µg/m³,15,46,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:03:00Z,µg/m³,23,45,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:04:00Z,µg/m³,19,47,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:05:00Z,µg/m³,23,46,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:06:00Z,µg/m³,39,43,8,5,3
Hull Freetown - UKA00450,2023-09-20T23:07:00Z,µg/m³,39,40,8,5,4
Hull Freetown - UKA00450,2023-09-20T23:08:00Z,µg/m³,51,37,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:09:00Z,µg/m³,44,33,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:10:00Z,µg/m³,34,32,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:11:00Z,µg/m³,32,32,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:12:00Z,µg/m³,23,34,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:13:00Z,µg/m³,17,36,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:14:00Z,µg/m³,17,40,9,5,3
Hull Freetown - UKA00450,2023-09-20T23:15:00Z,µg/m³,19,44,9,5,4
Hull Freetown - UKA00450,2023-09-20T23:16:00Z,µg/m³,25,49,10,6,4
Hull Freetown - UKA00450,2023-09-20T23:17:00Z,µg/m³,27,53,10,6,3
Hull Freetown - UKA00450,2023-09-20T23:18:00Z,µg/m³,29,54,11,6,3
Hull Freetown - UKA00450,2023-09-20T23:19:00Z,µg/m³,24,55,11,6,3
Hull Freetown - UKA00450,2023-09-20T23:20:00Z,µg/m³,24,54,11,6,3
Hull Freetown - UKA00450,2023-09-20T23:21:00Z,µg/m³,14,53,11,6,3
Hull Freetown - UKA00450,2023-09-20T23:22:00Z,µg/m³,9,54,11,6,3
Hull Freetown - UKA00450,2023-09-20T23:23:00Z,µg/m³,14,54,11,6,3
Hull Freetown - UKA00450,2023-10-20T23:00:00Z,µg/m³,13,54,11,6,3
Hull Freetown - UKA00450,2023-10-20T23:01:00Z,µg/m³,13,54,11,6,3
Hull Freetown - UKA00450,2023-10-20T23:02:00Z,µg/m³,21,54,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:03:00Z,µg/m³,20,54,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:04:00Z,µg/m³,16,53,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:05:00Z,µg/m³,15,52,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:06:00Z,µg/m³,14,49,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:07:00Z,µg/m³,12,48,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:08:00Z,µg/m³,18,47,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:09:00Z,µg/m³,24,46,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:10:00Z,µg/m³,20,46,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:11:00Z,µg/m³,16,48,12,6,3
Hull Freetown - UKA00450,2023-10-20T23:12:00Z,µg/m³,17,50,12,6,3
